label,image,polygon_masks,box_labels,invalid_labels,status
tool02_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.80cb433ea292287660ec23c4941de244.txt,tool02_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.80cb433ea292287660ec23c4941de244.jpg,4,0,0,ok
tool02_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.58326252126b3599eb43fcf9a3c44393.txt,tool02_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.58326252126b3599eb43fcf9a3c44393.jpg,5,0,0,ok
tool02_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.a766cc1908d1b30bce066739c0a83465.txt,tool02_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.a766cc1908d1b30bce066739c0a83465.jpg,5,0,0,ok
tool02_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.1d3cd767c4f2a08bfc21f2d2a10e44db.txt,tool02_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.1d3cd767c4f2a08bfc21f2d2a10e44db.jpg,6,0,0,ok
tool02_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.fd8a907435219d410f55fda7c83e5714.txt,tool02_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.fd8a907435219d410f55fda7c83e5714.jpg,3,0,0,ok
tool02_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.551328ffb77fe5682597d08689fe825d.txt,tool02_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.551328ffb77fe5682597d08689fe825d.jpg,3,0,0,ok
tool02_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.6abadf0c67f4db8ddaf0f50b6030c8ee.txt,tool02_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.6abadf0c67f4db8ddaf0f50b6030c8ee.jpg,2,0,0,ok
tool02_bevel_gear_spindle_closeup_0014_isolated_jpg.rf.faea5074b8887bd7aee5a0abbea40586.txt,tool02_bevel_gear_spindle_closeup_0014_isolated_jpg.rf.faea5074b8887bd7aee5a0abbea40586.jpg,3,0,0,ok
tool02_bevel_gear_spindle_closeup_0016_isolated_jpg.rf.8f48370decef1f031729bf30ca3ae5ad.txt,tool02_bevel_gear_spindle_closeup_0016_isolated_jpg.rf.8f48370decef1f031729bf30ca3ae5ad.jpg,5,0,0,ok
tool03_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.1198d0f560c705317b31bce40a44d14d.txt,tool03_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.1198d0f560c705317b31bce40a44d14d.jpg,12,0,0,ok
tool03_bevel_gear_spindle_closeup_0002_isolated_jpg.rf.ad84cd1a9e7fb46bac9e099920e1f40f.txt,tool03_bevel_gear_spindle_closeup_0002_isolated_jpg.rf.ad84cd1a9e7fb46bac9e099920e1f40f.jpg,11,0,0,ok
tool03_bevel_gear_spindle_closeup_0003_isolated_jpg.rf.0066e6ea57b566361d85d715d17ac3ef.txt,tool03_bevel_gear_spindle_closeup_0003_isolated_jpg.rf.0066e6ea57b566361d85d715d17ac3ef.jpg,12,0,0,ok
tool08_bevel_gear_spindle_closeup_0003_isolated_jpg.rf.2e46f89e32943ea0b4f21c4067934c47.txt,tool08_bevel_gear_spindle_closeup_0003_isolated_jpg.rf.2e46f89e32943ea0b4f21c4067934c47.jpg,8,0,0,ok
tool08_bevel_gear_spindle_closeup_0004_isolated_jpg.rf.173d695c93612cffdac15a75f6b9f6f8.txt,tool08_bevel_gear_spindle_closeup_0004_isolated_jpg.rf.173d695c93612cffdac15a75f6b9f6f8.jpg,8,0,0,ok
tool08_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.35d7931946fdefa7b4e3a80755d732f3.txt,tool08_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.35d7931946fdefa7b4e3a80755d732f3.jpg,11,0,0,ok
tool08_bevel_gear_spindle_closeup_0006_isolated_jpg.rf.5158bf1d54f734a97890c97a427c76bb.txt,tool08_bevel_gear_spindle_closeup_0006_isolated_jpg.rf.5158bf1d54f734a97890c97a427c76bb.jpg,12,0,0,ok
tool08_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.969fa0d844dfb7c402a874202b1ae8a9.txt,tool08_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.969fa0d844dfb7c402a874202b1ae8a9.jpg,9,0,0,ok
tool08_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.89a3327dfba8ee2f98485deea9de9d38.txt,tool08_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.89a3327dfba8ee2f98485deea9de9d38.jpg,10,0,0,ok
tool08_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.5e72d9f7bdd388fe4a2c6a0970ce294f.txt,tool08_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.5e72d9f7bdd388fe4a2c6a0970ce294f.jpg,4,0,0,ok
tool08_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.ba0cabb032504e92d128307282a8578a.txt,tool08_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.ba0cabb032504e92d128307282a8578a.jpg,5,0,0,ok
tool08_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.af3e4f890ba4a1966abf60924eda5f81.txt,tool08_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.af3e4f890ba4a1966abf60924eda5f81.jpg,9,0,0,ok
tool08_bevel_gear_spindle_closeup_0014_isolated_jpg.rf.dd7d8909eba07bf964269065566b79c9.txt,tool08_bevel_gear_spindle_closeup_0014_isolated_jpg.rf.dd7d8909eba07bf964269065566b79c9.jpg,7,0,0,ok
tool08_bevel_gear_spindle_closeup_0015_isolated_jpg.rf.7f91c1585f5e4e6fdeb35e2244bbddd2.txt,tool08_bevel_gear_spindle_closeup_0015_isolated_jpg.rf.7f91c1585f5e4e6fdeb35e2244bbddd2.jpg,9,0,0,ok
tool09_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.5ec1b000fc859b03ebde3040eb2d79fb.txt,tool09_bevel_gear_spindle_closeup_0001_isolated_jpg.rf.5ec1b000fc859b03ebde3040eb2d79fb.jpg,1,0,0,ok
tool09_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.9de415490de0108aeb9d8a6cd5f80ee4.txt,tool09_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.9de415490de0108aeb9d8a6cd5f80ee4.jpg,9,0,0,ok
tool09_bevel_gear_spindle_closeup_0007_isolated_jpg.rf.bfd4e372ce3d462f62a02c820469bedd.txt,tool09_bevel_gear_spindle_closeup_0007_isolated_jpg.rf.bfd4e372ce3d462f62a02c820469bedd.jpg,4,0,0,ok
tool09_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.b5ab27257e583e9d21ccb2e544e2e921.txt,tool09_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.b5ab27257e583e9d21ccb2e544e2e921.jpg,4,0,0,ok
tool09_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.5ff04abbd86175b13d213081d223f214.txt,tool09_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.5ff04abbd86175b13d213081d223f214.jpg,4,0,0,ok
tool09_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.9c6a1f6d715805c913743918f462ae10.txt,tool09_bevel_gear_spindle_closeup_0010_isolated_jpg.rf.9c6a1f6d715805c913743918f462ae10.jpg,4,0,0,ok
tool09_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.53d8707fb3390e04a2a170a62ab313b7.txt,tool09_bevel_gear_spindle_closeup_0011_isolated_jpg.rf.53d8707fb3390e04a2a170a62ab313b7.jpg,4,0,0,ok
tool09_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.7fa4155b894f3986915d5a72d58678fe.txt,tool09_bevel_gear_spindle_closeup_0012_isolated_jpg.rf.7fa4155b894f3986915d5a72d58678fe.jpg,3,0,0,ok
tool09_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.a9637c9d9f2ce696f1bc698475c38e47.txt,tool09_bevel_gear_spindle_closeup_0013_isolated_jpg.rf.a9637c9d9f2ce696f1bc698475c38e47.jpg,8,0,0,ok
tool10_bevel_gear_spindle_closeup_0002_isolated_jpg.rf.2109e4c701abaf24149936b3db7b44da.txt,tool10_bevel_gear_spindle_closeup_0002_isolated_jpg.rf.2109e4c701abaf24149936b3db7b44da.jpg,1,0,0,ok
tool10_bevel_gear_spindle_closeup_0007_isolated_jpg.rf.4e2f3a001d124890c73c82ef27c34c9d.txt,tool10_bevel_gear_spindle_closeup_0007_isolated_jpg.rf.4e2f3a001d124890c73c82ef27c34c9d.jpg,5,0,0,ok
tool10_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.98391e0d2ad4ba9635f3509ff5bcd1d1.txt,tool10_bevel_gear_spindle_closeup_0008_isolated_jpg.rf.98391e0d2ad4ba9635f3509ff5bcd1d1.jpg,7,0,0,ok
tool10_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.26dad56fe3da69dfa7a5bf338466407f.txt,tool10_bevel_gear_spindle_closeup_0009_isolated_jpg.rf.26dad56fe3da69dfa7a5bf338466407f.jpg,5,0,0,ok
tool99_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.66d402f7dd26b1b5b157d80ff79c9673.txt,tool99_bevel_gear_spindle_closeup_0005_isolated_jpg.rf.66d402f7dd26b1b5b157d80ff79c9673.jpg,1,0,0,ok
