path,mask_path,base_image,tool,view,source,weak_label,has_defect,score,fold
crops/images/tool02_bevel_gear_spindle_closeup_0002_isolated_c000_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0002_isolated_c000_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0002,tool02,000,official_crop,0,0,2.5624022483825684,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0002_isolated_c001_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0002_isolated_c001_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0002,tool02,001,official_crop,0,0,2.5407793521881104,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0002_isolated_c004_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0002_isolated_c004_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0002,tool02,004,official_crop,0,0,2.5146944522857666,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0006_isolated_c000_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0006_isolated_c000_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0006,tool02,000,official_crop,0,0,2.6947240829467773,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0006_isolated_c001_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0006_isolated_c001_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0006,tool02,001,official_crop,0,0,2.6782915592193604,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0006_isolated_c003_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0006_isolated_c003_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0006,tool02,003,official_crop,0,0,2.6593313217163086,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0006_isolated_c004_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0006_isolated_c004_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0006,tool02,004,official_crop,0,0,2.6401166915893555,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0008_isolated_c000_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0008_isolated_c000_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0008,tool02,000,official_crop,0,1,2.940441608428955,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0008_isolated_c001_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0008_isolated_c001_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0008,tool02,001,official_crop,0,1,2.9056665897369385,tool02
crops/images/tool02_bevel_gear_spindle_closeup_0008_isolated_c002_direct_b01_c00.jpg,crops/masks/tool02_bevel_gear_spindle_closeup_0008_isolated_c002_direct_b01_c00.png,tool02_bevel_gear_spindle_closeup_0008,tool02,002,official_crop,0,1,2.8423264026641846,tool02
